Register Value,Player Name,Salary in $,Season Start,Season End,Team,Full Team Name
10717,A.J. Hammons,650000,2016,2017,DAL,Dallas Mavericks
10718,Aaron Brooks,2700000,2016,2017,IND,Indiana Pacers
10719,Aaron Gordon,4351320,2016,2017,ORL,Orlando Magic
10720,Aaron Gray,452059,2016,2017,DET,Detroit Pistons
10721,Aaron Harrison,375579,2016,2017,CHA,Charlotte Hornets
10722,Adreian Payne,2022240,2016,2017,MIN,Minnesota Timberwolves
10723,Al Horford,26540100,2016,2017,BOS,Boston Celtic
10724,Al Jefferson,10230179,2016,2017,IND,Indiana Pacers
10725,Alan Anderson,1315448,2016,2017,LAC,Los Angeles Clippers
10726,Alan Williams,874636,2016,2017,PHO,Phoenix Suns
10727,Alec Burks,10154495,2016,2017,UTA,Utah Jazz
10728,Alex Abrines,5994764,2016,2017,OKC,Oklahoma City Thunder
10729,Alex Caruso,50000,2016,2017,OKC,Oklahoma City Thunder
10730,Alex Len,4823621,2016,2017,PHO,Phoenix Suns
10731,Alex Poythress,38903,2016,2017,PHI,Philadelphia 76ers
10732,Alex Poythress,35381,2016,2017,IND,Indiana Pacers
10733,Alexis Ajinca,4600000,2016,2017,NOH,New Orleans Pelicans
10734,Al-Farouq Aminu,7680965,2016,2017,POR,Portland Trail Blazers
10735,Allen Crabbe,18500000,2016,2017,POR,Portland Trail Blazers
10736,Alonzo Gee,1400000,2016,2017,NOH,New Orleans Pelicans
10737,Alonzo Gee,495227,2016,2017,DEN,Denver Nuggets
10738,Amir Johnson,12000000,2016,2017,BOS,Boston Celtic
10739,Anderson Varejao,1984005,2016,2017,POR,Portland Trail Blazers
10740,Anderson Varejao,1551659,2016,2017,GSW,Golden State Warriors
10741,Andre Drummond,22116750,2016,2017,DET,Detroit Pistons
10742,Andre Iguodala,11131368,2016,2017,GSW,Golden State Warriors
10743,Andre Roberson,2183072,2016,2017,OKC,Oklahoma City Thunder
10744,Andrea Bargnani,323599,2016,2017,NJN,Brooklyn Nets
10745,Andrew Bogut,11027027,2016,2017,PHI,Philadelphia 76ers
10746,Andrew Bogut,242224,2016,2017,CLE,Cleveland Caveliers
10747,Andrew Harrison,945000,2016,2017,MEM,Memphis Grizzlies
10748,Andrew Nicholson,6088993,2016,2017,NJN,Brooklyn Nets
10749,Andrew Wiggins,6006600,2016,2017,MIN,Minnesota Timberwolves
10750,Anthony Bennett,1015696,2016,2017,NJN,Brooklyn Nets
10751,Anthony Brown,874636,2016,2017,LAL,Los Angeles Lakers
10752,Anthony Brown,108043,2016,2017,NOH,New Orleans Pelicans
10753,Anthony Brown,51449,2016,2017,ORL,Orlando Magic
10754,Anthony Davis,22116750,2016,2017,NOH,New Orleans Pelicans
10755,Anthony Morrow,3488000,2016,2017,CHI,Chicago Bulls
10756,Anthony Tolliver,8000000,2016,2017,SAC,Sacramento Kings
10757,Archie Goodwin,2094089,2016,2017,PHO,Phoenix Suns
10758,Archie Goodwin,194494,2016,2017,NJN,Brooklyn Nets
10759,Archie Goodwin,95600,2016,2017,NOH,New Orleans Pelicans
